2021-01-01,display,display video 360,apac,1497,1497,2.58%,1,3.23%
2021-01-02,display,display video 360,apac,947,2444,4.21%,2,6.45%
2021-01-03,display,display video 360,apac,1493,3937,6.79%,3,9.68%
2021-01-04,display,display video 360,apac,690,4627,7.98%,4,12.90%
2021-01-05,display,display video 360,apac,2236,6863,11.83%,5,16.13%
2021-01-06,display,display video 360,apac,574,7437,12.82%,6,19.35%
2021-01-07,display,display video 360,apac,1845,9282,16.00%,7,22.58%
2021-01-08,display,display video 360,apac,425,9707,16.74%,8,25.81%
2021-01-09,display,display video 360,apac,2304,12011,20.71%,9,29.03%
2021-01-10,display,display video 360,apac,2036,14047,24.22%,10,32.26%
2021-01-11,display,display video 360,apac,677,14724,25.39%,11,35.48%
2021-01-12,display,display video 360,apac,2800,17524,30.21%,12,38.71%
2021-01-13,display,display video 360,apac,1569,19093,32.92%,13,41.94%
2021-01-14,display,display video 360,apac,1800,20893,36.02%,14,45.16%
2021-01-15,display,display video 360,apac,2026,22919,39.52%,15,48.39%
2021-01-16,display,display video 360,apac,1946,24865,42.87%,16,51.61%
2021-01-17,display,display video 360,apac,2326,27191,46.88%,17,54.84%
2021-01-18,display,display video 360,apac,763,27954,48.20%,18,58.06%
2021-01-19,display,display video 360,apac,2529,30483,52.56%,19,61.29%
2021-01-20,display,display video 360,apac,2708,33191,57.23%,20,64.52%
2021-01-21,display,display video 360,apac,2565,35756,61.65%,21,67.74%
2021-01-22,display,display video 360,apac,1848,37604,64.83%,22,70.97%
2021-01-23,display,display video 360,apac,2313,39917,68.82%,23,74.19%
2021-01-24,display,display video 360,apac,1618,41535,71.61%,24,77.42%
2021-01-25,display,display video 360,apac,982,42517,73.31%,25,80.65%
2021-01-26,display,display video 360,apac,2812,45329,78.15%,26,83.87%
2021-01-27,display,display video 360,apac,2614,47943,82.66%,27,87.10%
2021-01-28,display,display video 360,apac,1619,49562,85.45%,28,90.32%
2021-01-29,display,display video 360,apac,2220,51782,89.28%,29,93.55%
2021-01-30,display,display video 360,apac,2790,54572,94.09%,30,96.77%
2021-01-31,display,display video 360,apac,2840,57412,98.99%,31,100.00%
2021-01-01,display,display video 360,emea,1500,1500,2.63%,1,3.23%
2021-01-02,display,display video 360,emea,2001,3501,6.14%,2,6.45%
2021-01-03,display,display video 360,emea,2859,6360,11.16%,3,9.68%
2021-01-04,display,display video 360,emea,1740,8100,14.21%,4,12.90%
2021-01-05,display,display video 360,emea,817,8917,15.64%,5,16.13%
2021-01-06,display,display video 360,emea,1004,9921,17.41%,6,19.35%
2021-01-07,display,display video 360,emea,1760,11681,20.49%,7,22.58%
2021-01-08,display,display video 360,emea,2357,14038,24.63%,8,25.81%
2021-01-09,display,display video 360,emea,1503,15541,27.26%,9,29.03%
2021-01-10,display,display video 360,emea,1456,16997,29.82%,10,32.26%
2021-01-11,display,display video 360,emea,1533,18530,32.51%,11,35.48%
2021-01-12,display,display video 360,emea,2667,21197,37.19%,12,38.71%
2021-01-13,display,display video 360,emea,2306,23503,41.23%,13,41.94%
2021-01-14,display,display video 360,emea,1972,25475,44.69%,14,45.16%
2021-01-15,display,display video 360,emea,2859,28334,49.71%,15,48.39%
2021-01-16,display,display video 360,emea,2751,31085,54.54%,16,51.61%
2021-01-17,display,display video 360,emea,2134,33219,58.28%,17,54.84%
2021-01-18,display,display video 360,emea,2778,35997,63.15%,18,58.06%
2021-01-19,display,display video 360,emea,2802,38799,68.07%,19,61.29%
2021-01-20,display,display video 360,emea,2961,41760,73.26%,20,64.52%
2021-01-21,display,display video 360,emea,348,42108,73.87%,21,67.74%
2021-01-22,display,display video 360,emea,2030,44138,77.44%,22,70.97%
2021-01-23,display,display video 360,emea,614,44752,78.51%,23,74.19%
2021-01-24,display,display video 360,emea,1242,45994,80.69%,24,77.42%
2021-01-25,display,display video 360,emea,414,46408,81.42%,25,80.65%
2021-01-26,display,display video 360,emea,1177,47585,83.48%,26,83.87%
2021-01-27,display,display video 360,emea,1635,49220,86.35%,27,87.10%
2021-01-28,display,display video 360,emea,1621,50841,89.19%,28,90.32%
2021-01-29,display,display video 360,emea,2783,53624,94.08%,29,93.55%
2021-01-30,display,display video 360,emea,2305,55929,98.12%,30,96.77%
2021-01-31,display,display video 360,emea,739,56668,99.42%,31,100.00%
2021-01-01,display,display video 360,na,2803,2803,1.64%,1,3.23%
2021-01-02,display,display video 360,na,770,3573,2.09%,2,6.45%
2021-01-03,display,display video 360,na,2999,6572,3.84%,3,9.68%
2021-01-04,display,display video 360,na,13365,19937,11.66%,4,12.90%
2021-01-05,display,display video 360,na,14163,34100,19.94%,5,16.13%
2021-01-06,display,display video 360,na,11951,46051,26.93%,6,19.35%
2021-01-07,display,display video 360,na,13610,59661,34.89%,7,22.58%
2021-01-08,display,display video 360,na,13856,73517,42.99%,8,25.81%
2021-01-09,display,display video 360,na,13895,87412,51.12%,9,29.03%
2021-01-10,display,display video 360,na,11801,99213,58.02%,10,32.26%
2021-01-11,display,display video 360,na,14109,113322,66.27%,11,35.48%
2021-01-12,display,display video 360,na,13404,126726,74.11%,12,38.71%
2021-01-13,display,display video 360,na,12080,138806,81.17%,13,41.94%
2021-01-14,display,display video 360,na,1338,140144,81.96%,14,45.16%
2021-01-15,display,display video 360,na,1393,141537,82.77%,15,48.39%
2021-01-16,display,display video 360,na,1507,143044,83.65%,16,51.61%
2021-01-17,display,display video 360,na,1965,145009,84.80%,17,54.84%
2021-01-18,display,display video 360,na,809,145818,85.27%,18,58.06%
2021-01-19,display,display video 360,na,2614,148432,86.80%,19,61.29%
2021-01-20,display,display video 360,na,2520,150952,88.28%,20,64.52%
2021-01-21,display,display video 360,na,2602,153554,89.80%,21,67.74%
2021-01-22,display,display video 360,na,409,153963,90.04%,22,70.97%
2021-01-23,display,display video 360,na,922,154885,90.58%,23,74.19%
2021-01-24,display,display video 360,na,1454,156339,91.43%,24,77.42%
2021-01-25,display,display video 360,na,1909,158248,92.54%,25,80.65%
2021-01-26,display,display video 360,na,1064,159312,93.16%,26,83.87%
2021-01-27,display,display video 360,na,2606,161918,94.69%,27,87.10%
2021-01-28,display,display video 360,na,1195,163113,95.39%,28,90.32%
2021-01-29,display,display video 360,na,2176,165289,96.66%,29,93.55%
2021-01-30,display,display video 360,na,2725,168014,98.25%,30,96.77%
2021-01-31,display,display video 360,na,2961,170975,99.99%,31,100.00%
2021-01-01,search,google-ads,apac,1298,1298,1.14%,1,3.23%
2021-01-02,search,google-ads,apac,4784,6082,5.36%,2,6.45%
2021-01-03,search,google-ads,apac,1619,7701,6.78%,3,9.68%
2021-01-04,search,google-ads,apac,6058,13759,12.11%,4,12.90%
2021-01-05,search,google-ads,apac,2403,16162,14.23%,5,16.13%
2021-01-06,search,google-ads,apac,1695,17857,15.72%,6,19.35%
2021-01-07,search,google-ads,apac,3182,21039,18.53%,7,22.58%
2021-01-08,search,google-ads,apac,6167,27206,23.96%,8,25.81%
2021-01-09,search,google-ads,apac,1333,28539,25.13%,9,29.03%
2021-01-10,search,google-ads,apac,1279,29818,26.26%,10,32.26%
2021-01-11,search,google-ads,apac,4000,33818,29.78%,11,35.48%
2021-01-12,search,google-ads,apac,5513,39331,34.63%,12,38.71%
2021-01-13,search,google-ads,apac,3898,43229,38.06%,13,41.94%
2021-01-14,search,google-ads,apac,5651,48880,43.04%,14,45.16%
2021-01-15,search,google-ads,apac,3365,52245,46.00%,15,48.39%
2021-01-16,search,google-ads,apac,5994,58239,51.28%,16,51.61%
2021-01-17,search,google-ads,apac,2229,60468,53.24%,17,54.84%
2021-01-18,search,google-ads,apac,3066,63534,55.94%,18,58.06%
2021-01-19,search,google-ads,apac,3801,67335,59.29%,19,61.29%
2021-01-20,search,google-ads,apac,516,67851,59.74%,20,64.52%
2021-01-21,search,google-ads,apac,5451,73302,64.54%,21,67.74%
2021-01-22,search,google-ads,apac,4496,77798,68.50%,22,70.97%
2021-01-23,search,google-ads,apac,2174,79972,70.42%,23,74.19%
